case_id,seizure_date,year,month,origin_region,origin_country,destination_country,species,species_category,product_type,iucn_status,quantity,unit,estimated_value_usd,transport_method,seizure_location_type,enforcement_agency,arrests_made,case_status,origin_lat,origin_lon,destination_lat,destination_lon
WLC-0314,01-01-2015,2015,1,Africa,Namibia,Singapore,Grey Parrot,Bird,Live Animal,Endangered,15,live individual,8372.73,Sea,Urban Wildlife Market,Coast Guard Interdiction Unit,0,Released - Insufficient Evidence,-22.9576,18.4904,1.3521,103.8198
WLC-0294,02-01-2015,2015,1,Africa,Zimbabwe,Vietnam,Seahorse,Marine,Traditional Medicine,Vulnerable,1.21,kg,602.83,Land,Land Border Crossing,National Wildlife Crime Unit,5,Case Dismissed,-19.0154,29.1549,14.0583,108.2772
WLC-0307,05-01-2015,2015,1,Latin America,Brazil,Thailand,Hawksbill Turtle,Marine,Shell,Critically Endangered,3.81,kg,1534.98,Sea,Urban Wildlife Market,National Parks & Wildlife Service,3,Case Dismissed,-14.235,-51.9253,15.87,100.9925
WLC-0212,05-01-2015,2015,1,Africa,Mozambique,Qatar,Pangolin (African),Mammal,Bushmeat,Endangered,4,kg,73.47,Sea,Urban Wildlife Market,Coast Guard Interdiction Unit,3,Under Investigation,-18.6657,35.5296,25.3548,51.1839
WLC-0512,07-01-2015,2015,1,Africa,Democratic Republic of Congo,South Korea,African Elephant,Mammal,Ivory,Endangered,5.58,kg,9613.28,Sea,Seaport / Container Terminal,Interpol-supported Joint Operation,0,Convicted,-4.0383,21.7587,35.9078,127.7669
WLC-0422,15-01-2015,2015,1,Asia,Malaysia,China,Agarwood,Plant,Timber,Vulnerable,3.58,kg,423.42,Air,Land Border Crossing,Port Authority Task Force,0,Released - Insufficient Evidence,4.2105,101.9758,35.8617,104.1954
WLC-0103,15-01-2015,2015,1,Asia,Laos,Qatar,Jaguar,Mammal,Skin/Pelt,Near Threatened,7,piece,17528.64,Sea,Land Border Crossing,Customs & Border Protection,0,Under Investigation,19.8563,102.4955,25.3548,51.1839
WLC-0209,16-01-2015,2015,1,Africa,Nigeria,South Korea,Pangolin (Ground),Mammal,Scales,Endangered,11.96,kg,1420.33,Air,International Airport,National Wildlife Crime Unit,3,Released - Insufficient Evidence,9.082,8.6753,35.9078,127.7669
WLC-0393,19-01-2015,2015,1,Africa,Zimbabwe,United Arab Emirates,Pangolin (African),Mammal,Bushmeat,Endangered,0.5,kg,5.52,Air,Urban Wildlife Market,Coast Guard Interdiction Unit,0,Released - Insufficient Evidence,-19.0154,29.1549,23.4241,53.8478
WLC-0117,27-01-2015,2015,1,Latin America,Ecuador,United States,Radiated Tortoise,Reptile,Live Animal,Critically Endangered,24,live individual,12188.13,Sea,Private Residence,Coast Guard Interdiction Unit,1,Closed - No Arrest,-1.8312,-78.1834,37.0902,-95.7129
WLC-0621,01-02-2015,2015,2,Latin America,Brazil,France,Saker Falcon,Bird,Live Animal,Endangered,39,live individual,682272.71,Air,International Airport,Port Authority Task Force,2,Under Investigation,-14.235,-51.9253,46.2276,2.2137
